1PG,20151117,4.41,4.57,4.24,4.37,222477
1ST,20151117,0.085,0.085,0.085,0.085,37142
3DM,20151117,0.075,0.075,0.072,0.073,289200
3PL,20151117,2.27,2.27,2.23,2.25,359645
88E,20151117,0.013,0.013,0.013,0.013,1140000
8IH,20151117,0.995,1,0.99,1,145000
A2M,20151117,0.89,0.915,0.875,0.88,24934947
AAA,20151117,50.15,50.15,50.13,50.13,37162
AAC,20151117,1.405,1.415,1.385,1.415,904108
AAD,20151117,2.63,2.73,2.62,2.73,1056898
AAJ,20151117,0.007,0.01,0.007,0.01,205000
AAX,20151117,0.34,0.34,0.325,0.325,98993
AB1,20151117,0.14,0.165,0.14,0.15,615981
ABA,20151117,5.36,5.36,5.35,5.35,23012
ABC,20151117,4.18,4.22,4.16,4.22,1777954
ABL,20151117,0.012,0.012,0.012,0.012,13
ABP,20151117,2.99,3.03,2.96,3.03,593448
ABU,20151117,0.15,0.155,0.15,0.15,533149
ABV,20151117,0.007,0.007,0.007,0.007,623653
ABX,20151117,0.26,0.26,0.23,0.26,453626
ABY,20151117,0.215,0.22,0.215,0.22,37661
ACG,20151117,0.215,0.215,0.21,0.215,124309
ACQ,20151117,0.77,0.77,0.77,0.77,49099
ACR,20151117,0.75,0.78,0.745,0.755,222914
ACU,20151117,0.11,0.11,0.1,0.1,342756
ACW,20151117,0.052,0.052,0.051,0.051,935000
ACX,20151117,4.7,4.76,4.59,4.66,114937
ADA,20151117,1.45,1.46,1.435,1.46,23861
ADH,20151117,2.29,2.31,2.14,2.26,999908
ADJ,20151117,0.08,0.08,0.079,0.079,344133
ADN,20151117,0.013,0.013,0.012,0.013,470000
ADO,20151117,0.09,0.09,0.09,0.09,504352
ADR,20151117,0.65,0.655,0.62,0.655,95484
ADV,20151117,0.014,0.015,0.013,0.013,12823683
AEB,20151117,0.043,0.043,0.043,0.043,10000
AEI,20151117,0.415,0.415,0.415,0.415,71155
AFA,20151117,0.31,0.31,0.31,0.31,46000
AFI,20151117,5.81,5.86,5.71,5.71,455882
AFJ,20151117,0.91,0.912,0.91,0.91,193620
AGE,20151117,0.025,0.028,0.025,0.028,46650
AGF,20151117,1.385,1.4,1.385,1.395,307646
AGG,20151117,1.97,2,1.97,2,2500
AGI,20151117,3.1,3.16,2.66,2.9,1061875
AGL,20151117,16.36,16.6,16.27,16.6,1810622
AGO,20151117,0.025,0.026,0.024,0.025,2006962
AGR,20151117,0.155,0.165,0.155,0.16,448500
AGS,20151117,0.031,0.031,0.03,0.03,4383386
AHD,20151117,14.6,14.89,14.52,14.64,132637
AHF,20151117,0.17,0.17,0.17,0.17,50000
AHG,20151117,4.08,4.09,4.02,4.08,692679
AHL,20151117,0.52,0.54,0.5,0.52,251003
AHY,20151117,1.705,1.72,1.69,1.69,1524783
AIA,20151117,4.76,4.76,4.68,4.73,56575
AIK,20151117,0.125,0.125,0.12,0.12,362000
AIO,20151117,8.76,8.85,8.75,8.81,4920252
AIV,20151117,0.011,0.011,0.01,0.01,458109
AIZ,20151117,2.57,2.58,2.55,2.58,1413
AJA,20151117,5.2,5.2,5.13,5.17,48713
AJD,20151117,1.26,1.26,1.26,1.26,96000
AJL,20151117,0.28,0.28,0.27,0.27,4857
AJM,20151117,0.044,0.045,0.042,0.043,1433821
AJQ,20151117,0.145,0.16,0.14,0.14,1093407
AJX,20151117,0.83,0.842,0.8,0.82,1541471
AKG,20151117,0.32,0.32,0.32,0.32,1570
AKK,20151117,0.016,0.016,0.015,0.015,140491
AKP,20151117,9.88,9.95,9.66,9.8,3519
AKY,20151117,19,19.15,19,19.15,115
ALA,20151117,0.096,0.097,0.096,0.097,15000
ALF,20151117,1.33,1.34,1.325,1.34,113974
ALI,20151117,1.915,1.915,1.905,1.905,92952
ALK,20151117,0.245,0.245,0.24,0.24,88786
ALL,20151117,9.24,9.5,9.24,9.5,1610337
ALQ,20151117,4.97,5.02,4.69,4.79,1946613
ALT,20151117,0.006,0.006,0.006,0.006,20000
ALU,20151117,4.83,4.83,4.62,4.77,377574
AMA,20151117,0.92,0.955,0.92,0.95,1232832
AMC,20151117,13.21,13.4,13.16,13.4,4992168
AMH,20151117,0.845,0.845,0.84,0.845,34183
AMI,20151117,0.032,0.034,0.032,0.034,24390
AMP,20151117,5.76,5.765,5.68,5.72,7492261
ANG,20151117,0.3,0.3,0.3,0.3,4550
ANN,20151117,21.4,21.47,21.15,21.43,1445611
ANP,20151117,0.09,0.09,0.083,0.083,141294
ANR,20151117,1.02,1.02,1.02,1.02,1784
ANZ,20151117,26.13,26.49,26.015,26.49,6060607
AOD,20151117,0.75,0.75,0.75,0.75,60993
AOG,20151117,3,3.01,2.935,2.97,1006992
AOH,20151117,0.1,0.105,0.1,0.1,25000
AOK,20151117,0.061,0.061,0.061,0.061,50000
AON,20151117,0.035,0.035,0.035,0.035,5443
APA,20151117,8.78,8.99,8.72,8.99,2483649
APE,20151117,11.34,11.5,11.23,11.25,26972
APG,20151117,0.006,0.006,0.006,0.006,538254
API,20151117,1.935,2.05,1.93,2.05,3150228
APN,20151117,0.49,0.495,0.475,0.48,1699121
APO,20151117,5.08,5.27,5.04,5.18,1299614
APX,20151117,1.47,1.56,1.47,1.49,216068
APY,20151117,0.012,0.012,0.01,0.01,8341725
APZ,20151117,1.415,1.48,1.415,1.475,15412
AQC,20151117,0.017,0.017,0.014,0.014,3478610
AQG,20151117,2.84,2.88,2.81,2.83,92684
AQP,20151117,0.24,0.24,0.235,0.235,63202
AQS,20151117,0.085,0.085,0.075,0.076,27009
ARB,20151117,14.66,14.95,14.62,14.95,107051
ARD,20151117,0.025,0.025,0.022,0.022,46600
ARF,20151117,1.74,1.76,1.715,1.75,135633
ARG,20151117,7.61,7.74,7.6,7.61,148489
ARI,20151117,0.084,0.085,0.08,0.082,12823466
ARU,20151117,0.051,0.051,0.05,0.05,26009
ARV,20151117,0.001,0.001,0.001,0.001,1000000
ARX,20151117,0.001,0.001,0.001,0.001,120
ASB,20151117,2.29,2.38,2.27,2.38,871014
ASH,20151117,0.24,0.24,0.21,0.22,525357
ASL,20151117,0.335,0.335,0.31,0.31,623005
AST,20151117,1.415,1.495,1.41,1.495,7348807
ASX,20151117,39.82,40.72,39.8,40.72,589275
ASZ,20151117,1.075,1.09,1.07,1.075,178167
