AAA,20130620,50.17,50.18,50.16,50.18,55546
AAC,20130620,1.09,1.105,1.09,1.1,482944
AAD,20130620,1.7,1.7,1.645,1.655,1524768
AAI,20130620,8.5,8.5,8.5,8.5,35
AAJ,20130620,0.037,0.037,0.037,0.037,72620
AAU,20130620,0.082,0.082,0.081,0.081,115200
AAX,20130620,2.15,2.21,2.12,2.18,167729
ABC,20130620,3.31,3.36,3.28,3.3,2796961
ABP,20130620,2.31,2.34,2.24,2.25,1063892
ABQ,20130620,0.017,0.017,0.017,0.017,200000
ABU,20130620,0.025,0.025,0.023,0.025,7147604
ABV,20130620,0.015,0.015,0.015,0.015,35000
ABW,20130620,1.085,1.085,1.085,1.085,241013
ABY,20130620,0.385,0.4,0.385,0.4,194073
ABZ,20130620,0.17,0.185,0.17,0.175,269984
ACB,20130620,0.048,0.048,0.046,0.046,33041
ACG,20130620,0.071,0.075,0.071,0.075,186467
ACL,20130620,0.31,0.34,0.31,0.315,210766
ACR,20130620,3.59,3.63,3.52,3.55,497963
ACW,20130620,0.019,0.019,0.019,0.019,8500
ADA,20130620,0.425,0.425,0.425,0.425,8000
ADJ,20130620,0.041,0.041,0.04,0.04,1600000
ADN,20130620,0.095,0.1,0.093,0.093,401653
ADO,20130620,0.063,0.064,0.062,0.062,1227324
ADX,20130620,0.014,0.015,0.014,0.015,627478
ADY,20130620,0.024,0.024,0.024,0.024,73304
AEB,20130620,0.185,0.19,0.185,0.19,54215
AEE,20130620,0.07,0.077,0.07,0.077,1728833
AEF,20130620,19.5,19.75,19.5,19.75,569
AEJ,20130620,6.95,7.26,6.95,7.26,32
AEK,20130620,0.045,0.045,0.045,0.045,50000
AEM,20130620,0.02,0.021,0.02,0.021,2203710
AEU,20130620,1.455,1.465,1.4,1.465,762479
AFA,20130620,0.195,0.195,0.195,0.195,10000
AFI,20130620,5.41,5.45,5.33,5.41,330078
AFR,20130620,0.071,0.071,0.071,0.071,92700
AGE,20130620,0.029,0.032,0.028,0.028,1620000
AGF,20130620,0.69,0.695,0.685,0.685,193725
AGI,20130620,4.14,4.2,4.14,4.18,193894
AGK,20130620,14.17,14.24,13.88,14.08,2557142
AGO,20130620,0.765,0.775,0.73,0.74,9183717
AGR,20130620,0.046,0.05,0.045,0.045,423200
AGS,20130620,0.105,0.105,0.1,0.1,915739
AGX,20130620,0.028,0.028,0.026,0.026,35927
AHD,20130620,8.1,8.19,8.05,8.08,82530
AHE,20130620,3.2,3.26,3.15,3.24,445084
AHZ,20130620,0.052,0.052,0.047,0.048,11679470
AIA,20130620,2.45,2.48,2.45,2.46,9629
AIO,20130620,4.72,4.77,4.61,4.7,7238625
AIQ,20130620,0.315,0.315,0.315,0.315,65000
AIV,20130620,0.015,0.015,0.015,0.015,2625000
AIW,20130620,0.014,0.015,0.013,0.015,802000
AIX,20130620,0.18,0.18,0.175,0.18,6741717
AJA,20130620,3.35,3.35,3.14,3.14,17093
AJC,20130620,0.009,0.009,0.009,0.009,82000
AJL,20130620,1.21,1.22,1.18,1.2,59133
AJM,20130620,0.095,0.095,0.095,0.095,13500
AJQ,20130620,0.23,0.23,0.22,0.23,34000
AJX,20130620,0.115,0.115,0.115,0.115,1400
AKA,20130620,0.115,0.115,0.11,0.11,24695
AKK,20130620,0.015,0.015,0.014,0.014,1217000
AKM,20130620,0.048,0.048,0.048,0.048,123550
AKP,20130620,2.6,2.6,2.5,2.5,3500
