1AD,20161223,0.17,0.17,0.17,0.17,2500
1AG,20161223,0.035,0.035,0.035,0.035,50000
1AL,20161223,0.98,0.98,0.97,0.97,30000
1PG,20161223,0.185,0.19,0.18,0.19,299352
1ST,20161223,0.064,0.064,0.064,0.064,80000
3DP,20161223,0.024,0.024,0.024,0.024,20805
3PL,20161223,1.125,1.125,1.1,1.125,158982
4DS,20161223,0.026,0.029,0.025,0.029,2283296
4WD,20161223,0.92,1,0.92,0.98,246031
88E,20161223,0.042,0.042,0.041,0.042,6044196
8EC,20161223,0.995,0.995,0.995,0.995,22375
9SP,20161223,0.16,0.16,0.16,0.16,130823
A2M,20161223,2.01,2.02,1.96,1.975,2351915
A3D,20161223,2.58,3.15,2.58,3.1,134250
AAA,20161223,50.13,50.15,50.13,50.14,89365
AAC,20161223,1.64,1.64,1.605,1.615,326675
AAD,20161223,2.32,2.34,2.3,2.34,2392611
AAJ,20161223,0.01,0.01,0.01,0.01,526676
AB1,20161223,0.07,0.07,0.07,0.07,486905
ABA,20161223,5.12,5.12,5.04,5.04,23140
ABC,20161223,5.34,5.345,5.28,5.28,306774
ABP,20161223,3.01,3.01,2.96,2.98,1361094
ABT,20161223,0.57,0.57,0.56,0.56,14650
ABU,20161223,0.105,0.11,0.1,0.105,473367
ABV,20161223,0.007,0.008,0.007,0.008,1250000
ABX,20161223,0.175,0.18,0.175,0.18,115743
ACB,20161223,0.06,0.061,0.06,0.061,564849
ACG,20161223,0.068,0.069,0.068,0.069,580000
ACL,20161223,0.008,0.008,0.008,0.008,38500
ACQ,20161223,1.05,1.05,1.05,1.05,24750
ACR,20161223,0.31,0.32,0.31,0.32,79823
ACU,20161223,0.028,0.028,0.028,0.028,3500
ACW,20161223,0.071,0.072,0.069,0.069,1063857
ACX,20161223,4.96,4.97,4.86,4.93,1588537
ADA,20161223,2.54,2.55,2.48,2.52,85053
ADH,20161223,1.665,1.665,1.59,1.605,158241
ADJ,20161223,0.094,0.096,0.094,0.094,542686
ADO,20161223,0.04,0.041,0.04,0.04,1732294
ADR,20161223,0.27,0.27,0.26,0.26,156728
ADV,20161223,0.029,0.029,0.028,0.029,2519621
ADX,20161223,0.007,0.007,0.007,0.007,600000
AEB,20161223,0.053,0.053,0.053,0.053,85000
