1AG,20160420,0.105,0.105,0.1,0.105,547261
1AL,20160420,1,1,1,1,3000
1PG,20160420,1.075,1.135,1.065,1.085,480859
3PL,20160420,1.295,1.325,1.285,1.31,106148
4DS,20160420,0.028,0.029,0.028,0.029,168638
8EC,20160420,0.91,0.91,0.91,0.91,4630
8IH,20160420,0.85,0.85,0.805,0.85,39630
A2M,20160420,1.665,1.67,1.62,1.62,4636547
AAA,20160420,50.14,50.15,50.14,50.15,55003
AAC,20160420,1.315,1.32,1.305,1.315,3403563
AAD,20160420,2.11,2.13,2.085,2.11,1128314
AAR,20160420,0.013,0.013,0.013,0.013,452779
AAX,20160420,0.24,0.24,0.235,0.24,32451
AB1,20160420,0.21,0.215,0.21,0.21,165135
ABA,20160420,5.13,5.15,5.13,5.15,11629
ABC,20160420,5.1,5.14,5.05,5.1,1223138
ABL,20160420,0.013,0.013,0.009,0.009,65490
ABP,20160420,3.1,3.13,3.1,3.12,560825
ABU,20160420,0.042,0.045,0.042,0.043,132584
ABV,20160420,0.007,0.007,0.007,0.007,13657568
ABX,20160420,0.17,0.185,0.17,0.18,584725
ABY,20160420,0.215,0.25,0.215,0.25,439039
ACG,20160420,0.17,0.17,0.17,0.17,44000
ACL,20160420,0.013,0.013,0.011,0.011,2448866
ACQ,20160420,0.84,0.85,0.84,0.85,56375
ACR,20160420,0.63,0.65,0.63,0.65,184441
ACS,20160420,0.08,0.08,0.08,0.08,20000
ACU,20160420,0.036,0.038,0.034,0.037,3424229
ACW,20160420,0.085,0.1,0.085,0.094,9708981
ACX,20160420,6.39,6.5,6.23,6.26,742907
ADA,20160420,2.38,2.46,2.25,2.3,367732
ADH,20160420,2.4,2.43,2.4,2.4,946443
ADJ,20160420,0.1,0.1,0.1,0.1,304477
ADN,20160420,0.015,0.016,0.015,0.016,870486
ADO,20160420,0.049,0.049,0.048,0.048,416174
ADR,20160420,0.51,0.56,0.51,0.56,698665
ADV,20160420,0.049,0.052,0.046,0.047,32043715
ADX,20160420,0.007,0.007,0.007,0.007,22000
ADY,20160420,0.013,0.013,0.012,0.012,69999
AEB,20160420,0.053,0.053,0.052,0.052,105800
AEE,20160420,0.016,0.016,0.014,0.014,840150
AEF,20160420,62.5,62.5,62.3,62.3,418
AEG,20160420,1.195,1.195,1.185,1.195,11050
AEI,20160420,0.445,0.45,0.42,0.42,24000
AER,20160420,0.13,0.13,0.13,0.13,15000
AEV,20160420,0.225,0.225,0.22,0.225,212461
AFG,20160420,1.01,1.01,0.98,0.98,35519
AFI,20160420,5.54,5.58,5.52,5.53,311995
AFR,20160420,0.043,0.043,0.043,0.043,92779
AGD,20160420,0.17,0.17,0.17,0.17,5000
AGE,20160420,0.013,0.013,0.013,0.013,288530
AGF,20160420,0.815,0.825,0.805,0.805,456840
AGG,20160420,3.9,3.9,3.9,3.9,1850
AGI,20160420,2.24,2.26,2.22,2.24,2000491
AGL,20160420,18.56,18.58,18.36,18.42,1195522
AGO,20160420,0.02,0.021,0.019,0.02,17012760
AGR,20160420,0.095,0.125,0.095,0.125,1124006
AGX,20160420,0.013,0.014,0.013,0.014,493949
AGY,20160420,0.017,0.027,0.016,0.026,25766875
AHF,20160420,0.27,0.27,0.26,0.26,1687505
AHG,20160420,3.82,3.85,3.81,3.84,584558
AHL,20160420,0.3,0.3,0.295,0.3,103650
AHX,20160420,1.392,1.4,1.39,1.395,58771
AHY,20160420,1.85,1.915,1.842,1.88,2460756
AHZ,20160420,0.425,0.45,0.425,0.43,331782
AIA,20160420,5.87,5.93,5.84,5.89,45462
AIO,20160420,8.81,8.82,8.75,8.81,1696727
AIR,20160420,0.08,0.08,0.08,0.08,6563
AIS,20160420,0.039,0.039,0.039,0.039,9439
AIV,20160420,0.01,0.01,0.01,0.01,87500
AIY,20160420,0.01,0.01,0.01,0.01,47644
AIZ,20160420,2.62,2.67,2.61,2.63,18281
AJA,20160420,6.26,6.27,6.205,6.23,52519
AJC,20160420,0.003,0.003,0.003,0.003,1421668
AJD,20160420,1.4,1.405,1.39,1.39,76646
AJL,20160420,0.2,0.2,0.2,0.2,37297
AJM,20160420,0.26,0.265,0.25,0.255,5091918
AJQ,20160420,0.074,0.075,0.074,0.075,53197
AJX,20160420,0.645,0.67,0.64,0.645,198513
AKG,20160420,0.18,0.18,0.18,0.18,7762
AKK,20160420,0.005,0.005,0.005,0.005,166600
AKM,20160420,0.007,0.007,0.007,0.007,392131
AKP,20160420,10.2,12.88,10.2,12.6,59726
ALA,20160420,0.115,0.125,0.11,0.11,527037
ALC,20160420,0.05,0.05,0.049,0.049,993823
ALF,20160420,1.41,1.425,1.41,1.42,141770
ALI,20160420,1.81,1.815,1.77,1.77,68556
ALK,20160420,0.22,0.22,0.215,0.215,213358
ALL,20160420,10.32,10.35,10.2,10.23,1146339
ALQ,20160420,4.64,4.92,4.6,4.69,3462331
ALR,20160420,1.03,1.03,1.03,1.03,6900
ALT,20160420,0.003,0.003,0.003,0.003,797077
ALU,20160420,6.3,6.31,6.22,6.31,625617
ALY,20160420,0.014,0.014,0.014,0.014,5785
AMA,20160420,0.99,0.99,0.96,0.97,265004
AMB,20160420,0.215,0.215,0.215,0.215,4989
AMC,20160420,15.51,15.81,15.45,15.57,3873975
AMH,20160420,0.91,0.91,0.9,0.905,47000
AMI,20160420,0.076,0.079,0.074,0.079,450570
AMP,20160420,5.84,5.86,5.76,5.81,5035885
AMT,20160420,0.15,0.15,0.15,0.15,48000
ANG,20160420,0.145,0.147,0.145,0.145,130843
ANN,20160420,19.66,19.845,19.53,19.76,651935
ANP,20160420,0.038,0.038,0.036,0.036,121165
ANQ,20160420,0.001,0.001,0.001,0.001,300000
ANR,20160420,1.25,1.25,1.2,1.2,25298
ANW,20160420,0.006,0.007,0.006,0.006,1500000
ANZ,20160420,24.2,24.3,23.66,23.9,5660728
AOG,20160420,3.42,3.45,3.36,3.37,882695
AOH,20160420,0.093,0.094,0.092,0.094,712465
AOK,20160420,0.054,0.057,0.051,0.055,935972
AOP,20160420,0.089,0.095,0.089,0.09,332594
AOU,20160420,0.12,0.125,0.12,0.125,208000
AOW,20160420,0.19,0.195,0.18,0.195,137189
APA,20160420,8.77,8.865,8.77,8.81,2384769
APD,20160420,0.41,0.41,0.41,0.41,223786
APE,20160420,10.12,10.34,10.06,10.2,157729
APG,20160420,0.004,0.004,0.004,0.004,300000
API,20160420,1.97,1.97,1.88,1.89,980994
APN,20160420,0.605,0.64,0.6,0.625,1398735
APO,20160420,6.7,6.74,6.59,6.63,520927
APW,20160420,0.12,0.12,0.12,0.12,69
APX,20160420,1.77,1.815,1.73,1.78,361771
APY,20160420,0.015,0.018,0.015,0.015,17885434
APZ,20160420,1.115,1.115,1.115,1.115,29525
AQC,20160420,0.011,0.011,0.01,0.01,1180271
AQD,20160420,0.015,0.015,0.015,0.015,1989272
AQG,20160420,2.75,2.85,2.75,2.82,152957
AQI,20160420,0.095,0.095,0.093,0.093,275555
AQQ,20160420,0.022,0.023,0.022,0.022,661562
AQS,20160420,0.076,0.076,0.064,0.064,146031
AQX,20160420,0.052,0.052,0.05,0.05,103793
AQZ,20160420,0.47,0.47,0.47,0.47,3000000
AR1,20160420,0.013,0.013,0.013,0.013,943
ARB,20160420,16.09,16.09,15.88,16,93587
ARC,20160420,0.65,0.65,0.63,0.65,65525
ARD,20160420,0.038,0.038,0.031,0.034,2791144
ARE,20160420,0.022,0.023,0.02,0.022,17476269
ARF,20160420,1.93,1.955,1.92,1.94,197881
ARG,20160420,7.25,7.27,7.2,7.2,243030
ARM,20160420,0.049,0.049,0.04,0.04,573795
ARO,20160420,0.007,0.007,0.007,0.007,15000
ARS,20160420,0.19,0.19,0.19,0.19,5000
ARU,20160420,0.046,0.046,0.042,0.042,559975
ARX,20160420,0.001,0.001,0.001,0.001,44
ASB,20160420,1.58,1.655,1.575,1.615,2999178
ASH,20160420,0.19,0.19,0.19,0.19,13100
ASL,20160420,0.49,0.5,0.485,0.49,417809
ASN,20160420,0.023,0.025,0.023,0.025,662621
ASP,20160420,0.005,0.005,0.005,0.005,482500
AST,20160420,1.535,1.54,1.52,1.525,4106322
ASW,20160420,0.62,0.62,0.62,0.62,15000
ASX,20160420,43.56,43.67,43.16,43.59,376352
ASY,20160420,0.023,0.025,0.023,0.024,1918914
ASZ,20160420,1.13,1.14,1.13,1.13,8577
ATC,20160420,0.082,0.082,0.082,0.082,19235
ATP,20160420,0.037,0.037,0.037,0.037,47204
ATR,20160420,0.18,0.18,0.18,0.18,13085
ATU,20160420,0.42,0.42,0.42,0.42,1000
AUB,20160420,8.58,8.7,8.5,8.51,9768
AUC,20160420,0.045,0.045,0.04,0.044,665492
AUF,20160420,1.23,1.23,1.23,1.23,1650
AUI,20160420,7.01,7.02,7,7,9989
AUP,20160420,5.61,5.61,5.59,5.59,3000
AUQ,20160420,0.015,0.015,0.015,0.015,1112
AUZ,20160420,0.016,0.016,0.015,0.015,9880932
AVB,20160420,0.071,0.071,0.069,0.07,558660
AVD,20160420,0.023,0.023,0.023,0.023,48
AVG,20160420,0.58,0.582,0.565,0.565,277352
AVH,20160420,0.135,0.14,0.13,0.13,607016
AVJ,20160420,0.52,0.532,0.51,0.51,212534
AVL,20160420,0.013,0.013,0.012,0.012,12947103
AVN,20160420,2.06,2.08,2.055,2.08,196645
AVQ,20160420,0.175,0.18,0.17,0.18,638211
AVX,20160420,0.025,0.025,0.023,0.023,416507
AVZ,20160420,0.009,0.009,0.009,0.009,533335
AWC,20160420,1.43,1.472,1.425,1.45,19084901
AWE,20160420,0.685,0.7,0.63,0.63,3210988
AWI,20160420,0.29,0.29,0.28,0.28,60881
AWV,20160420,0.081,0.089,0.081,0.082,1458327
AWY,20160420,0.002,0.002,0.002,0.002,2000000
AXE,20160420,0.076,0.079,0.076,0.079,60000
AXP,20160420,1.12,1.12,1.1,1.1,151000
AXT,20160420,0.078,0.078,0.078,0.078,532512
AYA,20160420,0.17,0.17,0.165,0.165,219498
AYB,20160420,0.033,0.033,0.029,0.029,1276261
AYR,20160420,0.013,0.013,0.013,0.013,900000
AYS,20160420,1.75,1.77,1.66,1.68,281809
AYZ,20160420,74.05,74.06,74.05,74.06,1487
AZJ,20160420,4.18,4.355,4.18,4.33,8337002
AZM,20160420,0.042,0.043,0.042,0.042,683982
AZS,20160420,0.038,0.039,0.037,0.037,4760143
AZV,20160420,0.07,0.071,0.069,0.069,114000
AZY,20160420,0.019,0.02,0.019,0.019,2336000
BAF,20160420,1.03,1.045,1.03,1.045,113471
BAL,20160420,10.55,10.56,10.3,10.49,702241
BAP,20160420,4.84,4.97,4.8,4.8,2373828
BAR,20160420,0.036,0.037,0.033,0.037,1418428
BAU,20160420,0.094,0.095,0.094,0.095,118135
BBG,20160420,1.48,1.48,1.42,1.455,843298
BBN,20160420,2.34,2.37,2.32,2.35,698868
BBR,20160420,0.06,0.06,0.06,0.06,111985
BCI,20160420,0.19,0.19,0.18,0.18,1238968
BCK,20160420,0.025,0.025,0.025,0.025,79202
BCN,20160420,0.004,0.004,0.004,0.004,2500000
BCT,20160420,0.025,0.026,0.025,0.026,413000
BDR,20160420,0.315,0.325,0.31,0.31,7113100
BEAR,20160420,17.45,17.52,17.4,17.5,108622
BEL,20160420,0.13,0.13,0.13,0.13,21552
BEN,20160420,9.13,9.19,9.06,9.15,1477551
BFC,20160420,0.43,0.44,0.415,0.43,1205303
BFG,20160420,0.5,0.5,0.485,0.5,76550
BGA,20160420,6.05,6.09,5.99,6.09,315136
BGD,20160420,0.038,0.038,0.036,0.036,1079330
BGG,20160420,0.056,0.059,0.056,0.059,220000
BGL,20160420,0.625,0.625,0.6,0.605,87572
BGS,20160420,0.32,0.335,0.29,0.29,1894004
BHP,20160420,20.1,20.48,19.94,20.34,19345056
BIG,20160420,0.175,0.175,0.16,0.165,23304
BIQ,20160420,0.8,0.8,0.8,0.8,1225
BIT,20160420,0.065,0.069,0.065,0.068,247621
BKI,20160420,1.575,1.58,1.57,1.58,108631
BKL,20160420,167,167.19,159.56,160.01,206767
BKN,20160420,0.71,0.73,0.67,0.725,608299
BKP,20160420,0.001,0.001,0.001,0.001,1018633
BKT,20160420,0.041,0.041,0.041,0.041,44431
BKW,20160420,15.5,15.55,15.38,15.45,189090
BKY,20160420,0.545,0.545,0.545,0.545,20000
BLA,20160420,7.01,7.4,6.895,7.1,54727
BLD,20160420,6.56,6.57,6.29,6.34,3337248
BLK,20160420,0.415,0.42,0.392,0.395,1593079
BLT,20160420,0.115,0.115,0.11,0.11,61623
BLX,20160420,1.87,1.94,1.87,1.88,5085260
BLY,20160420,0.098,0.098,0.092,0.092,300829
BLZ,20160420,0.06,0.06,0.053,0.053,645000
BMP,20160420,0.18,0.18,0.18,0.18,17000
BNE,20160420,0.007,0.007,0.007,0.007,7300
BNO,20160420,0.335,0.335,0.325,0.335,234239
BNR,20160420,0.06,0.06,0.059,0.059,145334
BOA,20160420,0.145,0.145,0.145,0.145,5000
BOC,20160420,0.21,0.21,0.21,0.21,20000
BOE,20160420,0.064,0.065,0.052,0.053,2663925
BOL,20160420,0.07,0.072,0.066,0.072,81675
BOQ,20160420,11.57,11.77,11.565,11.75,2584082
BPA,20160420,6.16,6.16,6.16,6.16,100
BPF,20160420,0.39,0.395,0.39,0.395,205330
BPL,20160420,0.066,0.078,0.066,0.077,1855958
BPT,20160420,0.66,0.68,0.635,0.65,7578886
BRB,20160420,0.145,0.16,0.145,0.16,543000
BRD,20160420,0.003,0.003,0.003,0.003,226000
BRG,20160420,7.76,7.9,7.68,7.87,174546
BRK,20160420,0.008,0.008,0.008,0.008,60001
BRL,20160420,0.016,0.017,0.016,0.016,6380000
BRN,20160420,0.15,0.155,0.145,0.15,1229694
BRS,20160420,1.27,1.275,1.24,1.25,1758875
BRU,20160420,0.225,0.23,0.225,0.225,517780
BSA,20160420,0.235,0.24,0.235,0.24,667738
BSE,20160420,0.062,0.062,0.06,0.062,764503
BSL,20160420,6.85,7.05,6.78,6.91,4557134
BSN,20160420,0.004,0.005,0.004,0.004,1702072
