1PG,20150814,3.13,3.6,3.13,3.45,2604683
1ST,20150814,0.14,0.14,0.14,0.14,10000
3DM,20150814,0.087,0.088,0.085,0.085,334094
3PL,20150814,2.1,2.1,1.97,1.99,180547
88E,20150814,0.011,0.011,0.011,0.011,1975440
8CO,20150814,0.225,0.225,0.225,0.225,6000
8IH,20150814,0.845,0.875,0.84,0.875,24000
A2M,20150814,0.72,0.72,0.71,0.71,343558
AAA,20150814,50.13,50.14,50.12,50.14,26016
AAC,20150814,1.325,1.395,1.32,1.39,1373216
AAD,20150814,2.28,2.3,2.26,2.27,917217
AAJ,20150814,0.007,0.007,0.007,0.007,67999
AAX,20150814,0.385,0.385,0.38,0.38,81945
AB1,20150814,0.185,0.185,0.185,0.185,85184
ABA,20150814,5.31,5.31,5.31,5.31,5000
ABC,20150814,4.58,4.65,4.57,4.58,765323
ABP,20150814,3.05,3.06,3,3,685801
ABU,20150814,0.22,0.23,0.215,0.22,276671
ABV,20150814,0.005,0.005,0.005,0.005,2000000
ABW,20150814,0.98,0.98,0.98,0.98,6967
ABX,20150814,0.21,0.225,0.205,0.21,223976
ABY,20150814,0.17,0.17,0.17,0.17,24
ACB,20150814,0.024,0.024,0.024,0.024,71000
ACG,20150814,0.22,0.225,0.22,0.22,190745
ACL,20150814,0.035,0.035,0.035,0.035,60000
ACO,20150814,2.48,2.5,2.48,2.49,341310
ACQ,20150814,0.73,0.73,0.73,0.73,7500
ACR,20150814,0.745,0.76,0.72,0.74,856618
ACU,20150814,0.086,0.086,0.085,0.086,461269
ACW,20150814,0.062,0.062,0.061,0.061,100000
ACX,20150814,4.16,4.26,4.15,4.18,80462
ADA,20150814,0.935,0.935,0.91,0.91,6500
ADH,20150814,2.86,2.92,2.86,2.92,409594
ADJ,20150814,0.086,0.088,0.085,0.088,270150
ADN,20150814,0.037,0.039,0.035,0.039,50442
ADO,20150814,0.1,0.1,0.099,0.099,1249629
ADV,20150814,0.006,0.006,0.006,0.006,220000
ADY,20150814,0.018,0.018,0.018,0.018,10000
AEB,20150814,0.05,0.05,0.05,0.05,39738
AEE,20150814,0.019,0.019,0.017,0.018,861231
AEI,20150814,0.46,0.46,0.46,0.46,1450
AEK,20150814,0.07,0.07,0.069,0.069,93793
AFG,20150814,1.14,1.14,1.09,1.125,35123
AFI,20150814,6.11,6.2,6.1,6.2,444553
