AAA,20131209,50.11,50.13,50.11,50.13,76681
AAC,20131209,1.16,1.2,1.16,1.195,245884
AAD,20131209,1.95,1.97,1.932,1.97,744396
AAU,20131209,0.067,0.067,0.067,0.067,10000
AAX,20131209,0.66,0.66,0.625,0.65,1041938
ABC,20131209,3.59,3.62,3.53,3.53,974445
ABN,20131209,0.021,0.021,0.021,0.021,50000
ABP,20131209,2.21,2.22,2.19,2.2,594271
ABQ,20131209,0.036,0.037,0.035,0.036,997024
ABU,20131209,0.024,0.024,0.021,0.023,17916729
ABV,20131209,0.015,0.015,0.015,0.015,435001
ABY,20131209,0.34,0.34,0.335,0.34,221481
ABZ,20131209,0.22,0.23,0.215,0.23,930042
ACB,20131209,0.052,0.052,0.045,0.045,212398
ACG,20131209,0.17,0.17,0.165,0.17,667742
ACL,20131209,0.55,0.565,0.54,0.555,168359
ACR,20131209,2.37,2.4,2.28,2.3,2015521
ADJ,20131209,0.12,0.125,0.107,0.11,4789620
ADN,20131209,0.055,0.055,0.055,0.055,6500
ADO,20131209,0.16,0.165,0.145,0.145,4986664
ADX,20131209,0.015,0.015,0.015,0.015,18167
ADY,20131209,0.017,0.017,0.016,0.016,615705
AEB,20131209,0.115,0.115,0.115,0.115,26500
AEE,20131209,0.04,0.04,0.04,0.04,24866
AEK,20131209,0.069,0.071,0.069,0.071,80002
AEM,20131209,0.013,0.013,0.013,0.013,750000
AEU,20131209,1.52,1.545,1.51,1.545,237944
AFA,20131209,0.11,0.115,0.105,0.105,129003
AFI,20131209,5.96,5.98,5.91,5.93,336086
AFJ,20131209,1.085,1.1,0.98,1.04,12249587
AFR,20131209,0.125,0.125,0.125,0.125,10000
AFV,20131209,0.67,0.67,0.67,0.67,1020
AGE,20131209,0.058,0.058,0.058,0.058,50000
AGF,20131209,0.855,0.865,0.85,0.86,570854
AGG,20131209,2.79,2.81,2.78,2.8,3700
AGI,20131209,4.32,4.33,4.03,4.24,435339
AGJ,20131209,0.085,0.085,0.085,0.085,109665
AGK,20131209,14.72,14.8,14.53,14.57,1450163
AGO,20131209,1.22,1.24,1.21,1.22,10997322
AGR,20131209,0.05,0.05,0.048,0.048,350196
AGS,20131209,0.14,0.145,0.135,0.135,324479
AGX,20131209,0.019,0.019,0.018,0.018,255565
AHC,20131209,2.1,2.1,2.1,2.1,2400
AHD,20131209,8.06,8.3,8.06,8.22,36545
AHE,20131209,3.55,3.57,3.48,3.51,224911
AHN,20131209,0.04,0.04,0.04,0.04,6878
AHZ,20131209,0.15,0.15,0.14,0.14,2550431
AIA,20131209,3.19,3.24,3.19,3.24,45300
AIO,20131209,5.58,5.64,5.55,5.57,1780264
AIV,20131209,0.015,0.015,0.015,0.015,73568
AIW,20131209,0.006,0.006,0.006,0.006,700000
AIX,20131209,0.005,0.005,0.005,0.005,7068117
AIZ,20131209,1.475,1.5,1.45,1.5,18161
AJA,20131209,3.52,3.57,3.46,3.51,41289
AJC,20131209,0.011,0.011,0.011,0.011,1250962
AJD,20131209,1.025,1.03,1.02,1.02,84971
AJL,20131209,0.925,0.925,0.89,0.89,10600
AJM,20131209,0.13,0.13,0.13,0.13,188400
AJQ,20131209,0.21,0.21,0.19,0.205,162710
AJR,20131209,0.004,0.004,0.004,0.004,300000
AKA,20131209,0.105,0.105,0.105,0.105,505000
AKF,20131209,0.18,0.18,0.18,0.18,55550
AKK,20131209,0.01,0.01,0.009,0.009,11552371
AKM,20131209,0.06,0.06,0.06,0.06,196246
ALF,20131209,1.67,1.68,1.67,1.67,240426
ALK,20131209,0.335,0.335,0.32,0.325,126980
ALL,20131209,4.46,4.47,4.34,4.36,1325410
ALQ,20131209,8.16,8.31,8.15,8.28,1490341
ALR,20131209,1.345,1.35,1.33,1.345,58100
ALT,20131209,0.024,0.024,0.023,0.023,2183982
ALU,20131209,2.24,2.3,2.24,2.3,21708
ALZ,20131209,3.69,3.71,3.62,3.71,1750597
AMA,20131209,0.355,0.355,0.35,0.355,2141333
AMC,20131209,11.03,11.13,11.005,11.04,4263879
AMH,20131209,0.895,0.895,0.89,0.895,36352
