1PG,20160815,0.35,0.355,0.29,0.305,2889816
1ST,20160815,0.055,0.057,0.054,0.057,100000
3DP,20160815,0.038,0.038,0.038,0.038,572540
3PL,20160815,0.82,0.82,0.795,0.805,1044402
4DS,20160815,0.029,0.029,0.028,0.028,1474473
88E,20160815,0.041,0.044,0.041,0.042,37298124
8EC,20160815,0.99,0.99,0.98,0.98,34000
8IH,20160815,0.79,0.79,0.79,0.79,63000
9SP,20160815,0.185,0.185,0.18,0.18,628400
A2M,20160815,2.04,2.09,1.995,2,7873361
AAA,20160815,50.11,50.12,50.11,50.12,71346
AAC,20160815,2.02,2.03,1.99,2.01,662285
AAD,20160815,2.32,2.33,2.28,2.3,367267
AAP,20160815,0.03,0.03,0.03,0.03,20000
AAR,20160815,0.023,0.027,0.023,0.027,6730510
AAX,20160815,0.385,0.387,0.385,0.385,94959
ABA,20160815,5.05,5.09,5.05,5.09,19120
ABC,20160815,5.73,5.82,5.73,5.81,1070653
ABP,20160815,3.11,3.2,3.11,3.19,639259
ABT,20160815,0.86,0.86,0.86,0.86,9862
ABU,20160815,0.074,0.075,0.073,0.073,109003
ABV,20160815,0.009,0.009,0.009,0.009,1605518
ABX,20160815,0.24,0.25,0.235,0.24,775788
ACB,20160815,0.036,0.036,0.035,0.035,923510
ACG,20160815,0.13,0.135,0.13,0.135,136500
ACL,20160815,0.01,0.01,0.01,0.01,11000
ACP,20160815,0.027,0.027,0.027,0.027,200000
ACQ,20160815,1.02,1.045,1.02,1.04,75390
ACR,20160815,0.72,0.74,0.72,0.72,134402
ACU,20160815,0.035,0.035,0.033,0.033,651317
ACW,20160815,0.061,0.063,0.056,0.056,544827
ACX,20160815,7.79,7.85,7.74,7.78,498301
ADA,20160815,2.96,2.99,2.92,2.99,41929
ADH,20160815,2.55,2.75,2.54,2.66,18223
ADJ,20160815,0.12,0.12,0.117,0.117,202633
ADO,20160815,0.065,0.066,0.064,0.064,2040951
ADV,20160815,0.022,0.022,0.02,0.02,2104493
AEE,20160815,0.02,0.021,0.019,0.021,348881
AEG,20160815,1.175,1.19,1.17,1.18,173275
AEI,20160815,0.445,0.45,0.43,0.43,118871
AEV,20160815,0.21,0.21,0.2,0.205,857024
AFG,20160815,1.17,1.17,1.135,1.135,6060
AFI,20160815,5.71,5.73,5.7,5.71,232265
AFR,20160815,0.043,0.043,0.042,0.042,50000
AFY,20160815,2.26,2.29,2.2,2.26,201989
AGD,20160815,0.19,0.19,0.19,0.19,8300
AGF,20160815,0.88,0.89,0.88,0.89,655323
AGI,20160815,2.33,2.38,2.32,2.35,1794101
AGL,20160815,19,19.155,18.91,19.07,2389961
AGO,20160815,0.011,0.011,0.01,0.01,12318413
AGR,20160815,0.097,0.115,0.097,0.105,908936
AGS,20160815,0.045,0.045,0.044,0.044,190000
AGY,20160815,0.021,0.021,0.02,0.02,766921
AHF,20160815,0.195,0.195,0.19,0.19,210728
AHG,20160815,4.68,4.83,4.67,4.8,1470675
AHK,20160815,0.35,0.39,0.335,0.35,614772
AHX,20160815,1.53,1.53,1.525,1.525,10000
AHY,20160815,1.305,1.33,1.3,1.31,2355154
AHZ,20160815,0.34,0.355,0.34,0.345,1164050
AIA,20160815,6.66,6.75,6.64,6.7,51651
AIK,20160815,0.145,0.15,0.145,0.15,278400
AIQ,20160815,0.1,0.1,0.1,0.1,19888
AIS,20160815,0.067,0.067,0.052,0.052,428358
AIZ,20160815,2.07,2.08,2.04,2.06,220094
AJA,20160815,7.25,7.46,7.23,7.34,131114
AJD,20160815,1.595,1.605,1.56,1.6,83435
AJL,20160815,0.305,0.34,0.3,0.34,97000
AJM,20160815,0.155,0.155,0.14,0.14,6606342
AJQ,20160815,0.089,0.095,0.086,0.086,171950
AJX,20160815,0.595,0.615,0.595,0.595,705963
AKG,20160815,0.2,0.22,0.2,0.22,30000
AKK,20160815,0.006,0.006,0.006,0.006,785715
AKM,20160815,0.017,0.017,0.017,0.017,212028
AKP,20160815,24.02,24.03,21.87,22.22,66256
ALC,20160815,0.046,0.047,0.044,0.044,4334956
ALF,20160815,1.46,1.465,1.45,1.455,259982
ALI,20160815,1.895,1.905,1.875,1.9,77080
ALK,20160815,0.265,0.265,0.265,0.265,10000
ALL,20160815,15.54,15.58,15.4,15.57,1807075
ALQ,20160815,5.82,5.82,5.7,5.71,1310386
ALT,20160815,0.007,0.007,0.007,0.007,36244
ALU,20160815,7.45,7.46,7.42,7.43,179447
ALY,20160815,0.024,0.024,0.021,0.021,1129267
AMA,20160815,0.94,0.95,0.935,0.945,58778
AMB,20160815,0.17,0.17,0.17,0.17,90000
AMC,20160815,15.34,15.685,15.32,15.52,1806978
AME,20160815,0.13,0.14,0.13,0.14,530414
AMH,20160815,0.975,0.98,0.97,0.97,61055
AMI,20160815,0.16,0.165,0.145,0.15,1552598
AML,20160815,0.135,0.135,0.13,0.13,330000
AMP,20160815,5.73,5.86,5.715,5.82,7904708
ANG,20160815,0.14,0.145,0.135,0.135,813753
ANN,20160815,21,23.48,20.95,23.16,4147220
ANO,20160815,0.022,0.022,0.022,0.022,119828
ANQ,20160815,0.005,0.005,0.003,0.004,6733184
ANR,20160815,1.16,1.16,1.135,1.15,36617
ANW,20160815,0.009,0.009,0.009,0.009,292311
ANZ,20160815,26.55,26.8,26.37,26.61,3234157
AOD,20160815,0.72,0.72,0.72,0.72,872
