1PG,20141107,0.425,0.43,0.415,0.425,931730
3PL,20141107,2.42,2.42,2.37,2.37,42467
8CO,20141107,0.23,0.235,0.23,0.235,38305
AAA,20141107,50.11,50.12,50.1,50.1,23741
AAC,20141107,1.45,1.57,1.45,1.55,1689958
AAD,20141107,3.14,3.19,3.075,3.09,1831911
AAP,20141107,0.007,0.007,0.007,0.007,10000
AAX,20141107,0.49,0.49,0.47,0.47,94418
ABC,20141107,3.34,3.4,3.34,3.4,1888023
ABP,20141107,2.8,2.83,2.78,2.79,1590133
ABU,20141107,0.295,0.295,0.27,0.28,229378
ABV,20141107,0.006,0.006,0.006,0.006,135450
ABW,20141107,1.015,1.02,1.015,1.02,300000
ABX,20141107,0.325,0.325,0.315,0.32,53000
ABY,20141107,0.195,0.195,0.19,0.19,239419
ACB,20141107,0.045,0.046,0.044,0.046,288000
ACG,20141107,0.098,0.098,0.098,0.098,7887
ACJ,20141107,0.005,0.005,0.004,0.004,1979580
ACL,20141107,0.095,0.095,0.094,0.094,1119308
ACQ,20141107,0.82,0.82,0.815,0.815,7909
ACR,20141107,1.095,1.095,1.06,1.075,596109
ADJ,20141107,0.099,0.105,0.099,0.1,329036
ADN,20141107,0.028,0.028,0.027,0.027,114940
ADO,20141107,0.13,0.132,0.127,0.13,916376
ADX,20141107,0.009,0.009,0.009,0.009,100000
ADY,20141107,0.033,0.033,0.032,0.033,1658174
AEB,20141107,0.07,0.072,0.07,0.072,96504
AEE,20141107,0.026,0.028,0.025,0.026,245875
AEF,20141107,42,42,42,42,450
AEI,20141107,0.2,0.21,0.2,0.205,80031
AEK,20141107,0.062,0.062,0.062,0.062,11512
AFI,20141107,6.03,6.13,6.03,6.12,240445
AFJ,20141107,1.29,1.29,1.25,1.25,197566
AFR,20141107,0.08,0.08,0.075,0.075,160000
AGF,20141107,0.795,0.795,0.792,0.795,1392372
AGI,20141107,3.05,3.1,3.03,3.1,515361
AGK,20141107,13.88,13.9,13.79,13.86,2015661
AGO,20141107,0.23,0.257,0.225,0.235,20735912
AGS,20141107,0.17,0.17,0.16,0.165,114008
AGX,20141107,0.012,0.012,0.012,0.012,667
AGY,20141107,0.002,0.002,0.002,0.002,167000
AHD,20141107,10.15,10.25,10.08,10.16,83040
AHE,20141107,3.85,3.92,3.84,3.92,554864
AHF,20141107,0.275,0.28,0.27,0.28,168200
AHN,20141107,0.02,0.02,0.02,0.02,750000
AHY,20141107,2.03,2.06,2,2.04,1406646
AHZ,20141107,0.12,0.12,0.11,0.11,3479273
AIA,20141107,3.45,3.5,3.42,3.5,70363
AIB,20141107,0.865,0.865,0.86,0.86,21675
AIO,20141107,6.4,6.44,6.26,6.29,4196817
AIQ,20141107,0.15,0.15,0.15,0.15,122299
AIR,20141107,0.078,0.078,0.078,0.078,2086
AIZ,20141107,1.84,1.88,1.84,1.88,28904
AJA,20141107,4.45,4.59,4.45,4.52,107473
AJD,20141107,1.09,1.115,1.09,1.105,107093
AJL,20141107,0.74,0.74,0.7,0.7,11706
AJM,20141107,0.085,0.085,0.085,0.085,285
AJQ,20141107,0.075,0.075,0.073,0.073,140000
AJX,20141107,0.19,0.26,0.19,0.25,10328409
AKK,20141107,0.011,0.012,0.011,0.011,4517021
AKM,20141107,0.047,0.047,0.047,0.047,521460
AKP,20141107,11,11,10.01,10.4,16473
ALA,20141107,0.172,0.175,0.165,0.175,234940
ALF,20141107,1.565,1.565,1.505,1.51,357765
ALK,20141107,0.21,0.215,0.21,0.215,157366
ALL,20141107,6.7,6.78,6.665,6.7,1754348
ALQ,20141107,5.45,5.55,5.37,5.53,1719142
ALR,20141107,1.15,1.16,1.14,1.14,61892
ALT,20141107,0.031,0.031,0.03,0.031,1191156
ALU,20141107,3.04,3.04,2.995,3,1746918
ALY,20141107,0.015,0.015,0.015,0.015,230000
AMA,20141107,0.31,0.315,0.28,0.305,717272
AMC,20141107,12.14,12.33,12.14,12.22,3503189
AMH,20141107,0.895,0.895,0.89,0.89,42500
AMI,20141107,0.25,0.27,0.25,0.26,186774
AMM,20141107,2.5,2.52,2.335,2.39,1562185
AMP,20141107,5.92,5.95,5.88,5.9,6348184
ANG,20141107,1.05,1.05,1,1,62643
ANI,20141107,2.1,2.12,2.09,2.12,112874
ANN,20141107,20.3,20.48,20.22,20.38,444257
ANO,20141107,0.025,0.025,0.025,0.025,15000
ANP,20141107,0.105,0.105,0.105,0.105,30000
ANQ,20141107,0.005,0.005,0.005,0.005,1326010
ANR,20141107,0.35,0.35,0.34,0.34,8715
ANW,20141107,0.005,0.005,0.004,0.004,3789862
ANZ,20141107,32.68,32.88,32.63,32.88,12082375
AOD,20141107,0.955,0.955,0.955,0.955,270049
AOG,20141107,2.13,2.14,2.1,2.11,796724
AOH,20141107,0.23,0.24,0.23,0.24,347639
AOK,20141107,0.165,0.175,0.16,0.17,1278450
AON,20141107,0.012,0.014,0.012,0.014,2131823
AOW,20141107,0.185,0.185,0.185,0.185,40000
APA,20141107,8.04,8.1,8.01,8.1,1899288
APD,20141107,0.315,0.315,0.315,0.315,1587
APE,20141107,5.66,5.71,5.66,5.7,127190
APG,20141107,0.015,0.015,0.015,0.015,20000
API,20141107,0.835,0.845,0.825,0.845,1036278
APN,20141107,0.765,0.765,0.725,0.75,787676
APW,20141107,0.115,0.115,0.115,0.115,250000
APY,20141107,0.008,0.008,0.008,0.008,16666
APZ,20141107,1.275,1.345,1.27,1.32,85552
AQG,20141107,1.925,1.95,1.905,1.925,786023
AQP,20141107,0.3,0.305,0.28,0.285,4191756
AQR,20141107,0.105,0.105,0.105,0.105,2000
AQZ,20141107,1.18,1.2,1.18,1.195,5096
ARC,20141107,0.55,0.55,0.55,0.55,11000
ARF,20141107,1.495,1.55,1.495,1.51,168547
ARG,20141107,7.8,7.92,7.8,7.87,162150
ARH,20141107,0.015,0.015,0.015,0.015,43000
ARI,20141107,0.31,0.315,0.3,0.305,18333246
ARM,20141107,0.026,0.027,0.026,0.027,3937
ARP,20141107,13.14,13.16,13.05,13.13,223909
ARU,20141107,0.058,0.058,0.055,0.055,992848
ARW,20141107,0.185,0.185,0.185,0.185,3000
ARX,20141107,0.004,0.004,0.004,0.004,1329310
ASB,20141107,1.37,1.375,1.325,1.33,382065
ASH,20141107,1.6,1.62,1.55,1.62,61606
